job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills
Data Scientist,Data Scientist- (Media)(Streaming Service),Anywhere,via LinkedIn,Contractor,1,"Texas, United States",2/9/2023,0,0,United States,hour,,72.5,Harnahm,"['r', 'python', 'sql', 'aws', 'gcp', 'databricks', 'snowflake', 'tensorflow', 'keras', 'spark', 'airflow', 'jenkins', 'github']"
Data Engineer,AI/ML Data Engineer,"South San Francisco, CA",via Indeed,Full-time,0,Georgia,2/17/2023,0,0,United States,year,125690.8672,,Visions in View Inc,"['python', 'aws', 'snowflake']"
Data Analyst,Inventory Data Analyst,"Lansdale, PA",via LinkedIn,Contractor,0,"New York, United States",2/6/2023,1,0,United States,hour,,24.5,BlueSky Resource Solutions,['excel']
Business Analyst,Business Analyst 360 Intern,"Hanover Park, IL",via ZipRecruiter,Internship,0,"Illinois, United States",2/21/2023,0,0,United States,hour,,16,Insight Enterprises,['excel']
Data Analyst,Data Analyst,"Charlotte, NC",via LinkedIn,Full-time,0,Georgia,2/7/2023,0,0,United States,hour,,22.5,Apex Systems,
Senior Data Analyst,Sr. Data Analyst (Remote Possible),Anywhere,via Indeed,Full-time,1,Georgia,2/17/2023,0,1,United States,year,98000,,Equitable,"['sql', 'python', 'vba', 'hadoop', 'excel', 'powerpoint']"
Data Engineer,Data Engineer,"Oslo, Norway",via Ai-Jobs.net,Full-time,0,Norway,2/20/2023,1,0,Norway,year,96773,,Klaveness Digital,"['sql', 'power bi', 'flow', 'gitlab', 'kubernetes']"
Data Engineer,Sr Data Engineer,"Denver, CO",via Dice,Full-time,0,"Texas, United States",2/17/2023,1,1,United States,year,175000,,Talent Navigation Experts,"['sql', 'snowflake', 'oracle', 'sap']"
Senior Data Scientist,"Senior Data Scientist, Pricing",Anywhere,via LinkedIn,Full-time,1,"Texas, United States",2/15/2023,0,1,United States,year,170000,,SoFi,"['python', 'sql', 'snowflake', 'tableau', 'gitlab']"
Data Engineer,Data Engineer,"Arlington, VA",via Ai-Jobs.net,Full-time,0,"New York, United States",2/14/2023,1,0,United States,year,147500,,Starschema,"['sql', 'python', 'aws', 'airflow', 'kafka', 'spark']"
Data Engineer,"Data Engineer, Data Operations - Remote","Green Bay, WI",via Ladders,Full-time,0,"California, United States",2/8/2023,0,1,United States,year,90000,,Associated Bank,"['python', 'powershell', 'sql', 'r', 'shell', 'ruby', 'ruby', 'sql server', 'oracle', 'aws', 'ssis', 'ssrs', 'flow']"
Data Engineer,Principal Data Engineer,Anywhere,via LinkedIn,Full-time,1,"Illinois, United States",2/14/2023,0,1,United States,year,250000,,Signify Technology,"['scala', 'python', 'databricks', 'spark']"
Data Engineer,Data Engineer,Anywhere,via LinkedIn,Contractor,1,Sudan,2/2/2023,0,0,Sudan,hour,,47.5,Brooksource,"['sql', 'java', 'python', 'gcp', 'sap']"
Senior Data Scientist,Senior Data Scientist,"Pune, Maharashtra, India",via Ai-Jobs.net,Full-time,0,India,2/13/2023,0,0,India,year,157500,,Snowflake Inc.,"['python', 'sql', 'snowflake', 'scikit-learn', 'pandas', 'airflow', 'excel']"
Data Scientist,Data Analytics Specialist,United States,via Ai-Jobs.net,Full-time,0,"Texas, United States",2/28/2023,0,0,United States,year,95000,,Welocalize,['swift']
Data Engineer,Lead Data Engineer (Remote-Eligible),"Boston, MA",via JobServe,Full-time,0,Georgia,2/23/2023,0,1,United States,year,208114,,Capital One,"['scala', 'python', 'java', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'snowflake', 'aws', 'azure', 'redshift', 'spark', 'hadoop', 'kafka']"
Machine Learning Engineer,"Snr. Machine Learning Engineer (Position located in Bengaluru, India)","Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,0,India,2/14/2023,0,0,India,year,69000,,"KnowBe4, Inc.","['python', 'java', 'nosql', 'aws', 'scikit-learn', 'tensorflow', 'pytorch', 'keras', 'pandas', 'numpy', 'spark']"
Data Engineer,Sr Data Engineer,Anywhere,via LinkedIn,Contractor,1,"California, United States",2/10/2023,0,0,United States,hour,,77.5,Brooksource,"['sql', 'snowflake', 'azure']"
Cloud Engineer,Cloud Data Pipeline Engineer,Anywhere,via LinkedIn,Contractor,1,"New York, United States",2/24/2023,0,0,United States,hour,,88,Eliassen Group,"['java', 'aws', 'hadoop', 'airflow', 'kafka', 'splunk', 'yarn', 'kubernetes', 'docker', 'git']"
Data Engineer,Data Engineer,"Arlington, VA",via Ladders,Full-time,0,"Illinois, United States",2/14/2023,0,0,United States,year,90000,,Deloitte,"['java', 'python']"
Data Analyst,"Data Analyst/System Analyst @Chicago, IL/ Initial remote","Chicago, IL",via Dice,Contractor,0,"Illinois, United States",2/7/2023,1,0,United States,hour,,60,Sidmans,
Data Scientist,"Director , Data Science","Austin, TX",via Ladders,Full-time,0,"Texas, United States",2/8/2023,0,1,United States,year,375000,,PayPal,
Data Analyst,Sr Data Analyst,"Long Beach, CA",via Indeed,Full-time,0,"California, United States",2/16/2023,0,1,United States,year,89111.75,,Molina Healthcare,['excel']
Software Engineer,Senior Ruby Developer,Anywhere,via AngelList,Full-time,1,Brazil,2/20/2023,0,0,Brazil,year,81500,,KITRUM,"['ruby', 'ruby', 'sql', 'aws', 'aurora', 'kafka', 'graphql', 'ruby on rails']"
Data Analyst,Technical Data Analyst II,"Fort Worth, TX",via LinkedIn,Contractor,0,"Texas, United States",2/1/2023,0,0,United States,hour,,77.5,Russell Tobin,"['sql', 'nosql', 'python', 'r', 'aws', 'redshift']"
Data Engineer,"VP, Data Engineer Epoch","New York, NY",via Ladders,Full-time,0,"Texas, United States",2/16/2023,0,1,United States,year,375000,,TD Bank,"['sql', 'python', 'nosql', 'azure', 'databricks', 'pyspark', 'spark', 'kafka', 'flow', 'git']"
Data Scientist,Data Scientist - Payments,Singapore,via Ai-Jobs.net,Full-time,0,Singapore,2/3/2023,0,0,Singapore,year,157500,,Gojek,"['go', 'pytorch']"
Data Scientist,Data Scientist I,"Vienna, VA",via Indeed,Full-time,0,Georgia,2/10/2023,0,0,United States,year,124400,,Navy Federal Credit Union,"['python', 'r', 'scala', 'sql', 'azure', 'databricks', 'aws', 'spark', 'matplotlib', 'ggplot2', 'hadoop', 'word', 'power bi', 'tableau', 'spreadsheet', 'excel', 'powerpoint']"
Data Scientist,Data Science Executive,,via Ai-Jobs.net,Full-time,0,South Korea,2/7/2023,0,0,South Korea,year,93600,,NielsenIQ,"['python', 'tableau', 'word', 'outlook', 'powerpoint', 'excel', 'power bi', 'atlassian', 'git', 'bitbucket', 'confluence']"
Senior Data Engineer,Senior Data Engineer,"Woodland Hills, CA",via Ladders,Full-time,0,"New York, United States",2/21/2023,0,1,United States,year,125000,,Amwell,"['python', 'bigquery', 'gcp', 'kafka', 'airflow', 'flow']"
Senior Data Scientist,Data Scientist or Sr. Data Scientist,"Denver, CO",via Indeed,Full-time,0,Sudan,2/8/2023,0,1,Sudan,year,129833,,Xcel Energy,"['sql', 'python', 'express']"
Senior Data Scientist,"Senior Data Scientist, Web Analytics","San Jose, CA",via Ladders,Full-time,0,"California, United States",2/20/2023,0,1,United States,year,115000,,Roku,"['sql', 'looker', 'tableau']"
Data Scientist,Data Scientist Statistics,"Johnston, RI",via Indeed,Full-time,0,"New York, United States",2/23/2023,0,1,United States,year,118755,,FM Global,"['r', 'python', 'excel', 'word', 'powerpoint']"
Data Engineer,Desarrollador Big Data,"Málaga, Spain",via Ai-Jobs.net,Full-time,0,Spain,2/24/2023,0,0,Spain,year,80850,,Talan,"['python', 'java', 'sql', 'azure', 'spark', 'hadoop', 'linux', 'tableau']"
Data Engineer,Data Engineer,Connecticut,via LinkedIn,Full-time,0,Georgia,2/25/2023,0,0,United States,hour,,61.5,The Intersect Group,"['python', 'sql', 'gcp', 'pyspark', 'jenkins', 'git']"
Data Engineer,Data Engineer,"Pleasanton, CA",via Indeed,Contractor,0,Georgia,2/14/2023,0,0,United States,hour,,47.5,Smartiplace,"['python', 'scala', 'sql', 'aws', 'databricks', 'redshift', 'bigquery', 'spark', 'kafka', 'tableau', 'git', 'terraform']"
Senior Data Engineer,Senior Data Engineer,Anywhere,via LinkedIn,Full-time,1,"Illinois, United States",2/4/2023,0,0,United States,year,155000,,Intelletec,"['python', 'aws', 'spark', 'kafka', 'airflow', 'kubernetes']"
Software Engineer,Data Science Software Engineer,"Mountain View, CA",via Ai-Jobs.net,Full-time,0,"California, United States",2/9/2023,0,1,United States,year,189000,,Aurora Innovation,"['go', 'python', 'aurora']"
Senior Data Analyst,Senior Data Analyst (TS/SCI required),United States,via Ai-Jobs.net,Full-time,0,"Illinois, United States",2/10/2023,0,0,United States,year,98500,,IT Concepts Inc.,"['sql', 'python', 'excel']"
Data Engineer,Data Engineer - Information Security,"Scottsdale, AZ",via Ladders,Full-time,0,"New York, United States",2/17/2023,0,1,United States,year,90000,,Live Nation Entertainment,"['java', 'python', 'r', 'sql', 'go', 'scikit-learn', 'tensorflow', 'hadoop']"
Data Engineer,"Manager, Data Engineer","Harrisonburg, VA",via WANE Jobs,Full-time,0,"New York, United States",2/11/2023,0,1,United States,year,208114,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Data Engineer,"Cloud Data Engineer (692928) // US or GC // Hybrid Trenton, NJ ...",United States,via LinkedIn,Full-time,0,"California, United States",2/3/2023,0,0,United States,hour,,80,Dantech Corporation Inc.,"['python', 'sql', 'nosql', 'java', 'aws', 'azure', 'redshift', 'pyspark', 'pandas', 'numpy', 'spark', 'kafka', 'airflow']"
Data Engineer,Lead Data Engineer,"New Haven, CT",via My Stateline Jobs,Full-time,0,Sudan,2/27/2023,0,1,Sudan,year,211000,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Data Analyst,Data Analyst - Safety Services,"Rockford, IL",via LinkedIn,Full-time,0,"Illinois, United States",2/13/2023,0,0,United States,year,52000,,Landstar,"['sql', 'word', 'powerpoint', 'excel', 'cognos']"
Data Analyst,Bioinformatician/Research Data Analyst,"Stanford, CA",via Ladders,Full-time,0,"California, United States",2/10/2023,0,0,United States,year,115000,,Stanford University,"['perl', 'python', 'java', 'r', 'c', 'matlab', 'mysql']"
Senior Data Engineer,Senior Data Engineer,"New York, NY",via LinkedIn,Full-time,0,"California, United States",2/3/2023,0,0,United States,year,132500,,Lawrence Harvey,"['aws', 'azure', 'gcp']"
Data Engineer,Junior Data Engineer,"İstanbul, Türkiye",via Ai-Jobs.net,Full-time,0,Turkey,2/17/2023,0,0,Turkey,year,98283,,Wingie Enuygun Group,"['sql', 'java', 'python']"
Data Analyst,Finance Reporting Lead Data Analyst,"Florida City, FL",via KSNT Jobs,Full-time,0,"Florida, United States",2/15/2023,0,0,United States,year,125540,,Citi,"['css', 'r', 'python', 'sql', 'excel', 'tableau', 'power bi']"
Data Engineer,"Data Engineer (Remote-Preferred local DC, Maryland, Virginia) ...",Anywhere,via Upwork,Contractor,1,"California, United States",2/8/2023,1,0,United States,hour,,72.5,Upwork,
Data Engineer,"Software Engineer, Data Engineering",Japan,via Ai-Jobs.net,Full-time,0,Japan,2/13/2023,0,0,Japan,year,147500,,Appier,"['python', 'sql', 'java', 'cassandra', 'aws', 'azure', 'gcp', 'airflow', 'spark', 'hadoop', 'github']"
Machine Learning Engineer,"Platform Engineer, ML platform","London, UK",via Ai-Jobs.net,Full-time,0,United Kingdom,2/1/2023,0,0,United Kingdom,year,89100,,Wayve,"['python', 'golang', 'rust', 'chef']"
Business Analyst,Reporting Analyst Lead,"Chicago, IL",via Ladders,Full-time,0,"Illinois, United States",2/8/2023,1,0,United States,year,90000,,Denodo Technologies,"['power bi', 'excel', 'powerpoint', 'flow']"
Data Engineer,AWS Data Engineer - Hybrid - Salary $115k-$170k,"Thousand Oaks, CA",via LinkedIn,Full-time,0,"Texas, United States",2/27/2023,0,0,United States,year,142500,,LHH,"['cassandra', 'aws', 'redshift', 'snowflake', 'spark', 'kafka', 'tableau']"
Data Scientist,Lead Data Scientist,"Athens, Greece",via Ai-Jobs.net,Full-time,0,Greece,2/10/2023,0,0,Greece,year,51068,,iTechScope,"['python', 'spark', 'kafka', 'kubernetes', 'docker']"
Data Engineer,Data Engineer,Anywhere,via AngelList,Full-time,1,Estonia,2/15/2023,1,0,Estonia,year,110000,,Workato,"['sql', 'python', 'java', 'postgresql', 'snowflake', 'aws', 'redshift', 'bigquery', 'kafka', 'airflow', 'pandas', 'gdpr', 'git', 'terraform']"
Data Engineer,Data Engineer,Anywhere,via Remote OK,Full-time,1,Italy,2/2/2023,1,0,Italy,year,95000,,Scalapay,
Data Engineer,"Specialist, Data Engineer","Ohio City, OH",via Ladders,Full-time,0,"Florida, United States",2/25/2023,0,1,United States,year,115000,,Nationwide Insurance,"['sql', 'python', 'r', 'shell', 'perl', 'ruby', 'ruby', 'aws', 'spark', 'linux', 'unix', 'docker', 'kubernetes', 'jenkins', 'unity', 'git', 'jira', 'confluence']"
Data Scientist,"Data Scientist -Applied Math, Computer Science, Information...","Livermore, CA",via Adzuna,Part-time,0,"California, United States",2/13/2023,0,0,United States,year,173500,,Sandia National Laboratories,"['c++', 'c', 'matlab', 'r', 'python', 'julia']"
Data Scientist,Data Scientist,United States,via Indeed,Full-time,0,Sudan,2/3/2023,0,0,Sudan,year,100000,,NYC Careers,"['python', 'r', 'sql', 'go', 'tableau', 'git']"
Software Engineer,Senior Backend Engineer,Anywhere,via AngelList,Contractor,1,France,2/10/2023,1,0,France,year,75000,,Waitroom,"['typescript', 'javascript', 'golang', 'postgresql', 'redis', 'elasticsearch', 'redshift', 'aws', 'kafka', 'spark', 'node.js', 'docker', 'kubernetes']"
Senior Data Scientist,"Senior Data Scientist, Operations Research","Berlin, Germany",via Ai-Jobs.net,Full-time,0,Germany,2/7/2023,0,0,Germany,year,157500,,Wolt,"['python', 'sql']"
Data Engineer,Data Engineer,"Frisco, TX",via LinkedIn,Contractor,0,"California, United States",2/23/2023,0,0,United States,hour,,57.5,Insight Global,"['python', 'sql']"
Senior Data Scientist,"Sr.Dir, Marketing Data Science/Analytics","San Jose, CA",via Ladders,Full-time,0,"California, United States",2/23/2023,0,1,United States,year,150000,,PayPal,['planner']
Data Engineer,Data Engineering,"Lisbon, Portugal",via Ai-Jobs.net,Full-time,0,Portugal,2/1/2023,0,0,Portugal,year,80850,,Indie Campers,"['sql', 'redshift', 'phoenix', 'excel', 'tableau', 'power bi']"
Senior Data Analyst,Senior Data Analyst,"New York, NY",via Ladders,Full-time,0,"New York, United States",2/10/2023,0,1,United States,year,175000,,Uber,"['sql', 'python', 'pandas', 'hadoop', 'spark', 'tableau', 'jira']"
Data Engineer,Data Engineer,"Chapel Hill, NC",via Ai-Jobs.net,Full-time,0,"Illinois, United States",2/13/2023,1,0,United States,year,147500,,Quinsite,"['sql', 'nosql', 'aws', 'azure', 'ssis']"
Senior Data Engineer,Senior Data Engineer - DES Engineering Dataviz,"Cincinnati, OH",via Ladders,Full-time,0,"California, United States",2/28/2023,0,0,United States,year,90000,,General Electric Company,"['python', 'java', 'scala', 'sql', 'nosql', 'mysql', 'postgresql', 'cassandra', 'aws', 'redshift', 'oracle', 'hadoop', 'spark']"
Data Scientist,Junior Data Scientist,"Texas City, TX",via Dice,Full-time,0,"Texas, United States",2/22/2023,0,0,United States,year,70000,,"Acadia Technologies, Inc.",
Data Scientist,Data Scientist,"Charlotte, NC",via LinkedIn,Full-time,0,Georgia,2/21/2023,0,0,United States,year,100000,,Global Data Network,"['r', 'sql', 'excel']"
Data Scientist,"Lead Data Scientist, Marketing & Online (Remote)","Atlanta, GA",via ComputerJobs.com,Full-time,0,"Illinois, United States",2/4/2023,0,0,United States,year,240000,,The Home Depot,"['python', 'sql', 'bigquery', 'tableau']"
Data Engineer,Data Engineer,Anywhere,via LinkedIn,Contractor,1,"California, United States",2/9/2023,1,0,United States,hour,,76,Compri Consulting,"['python', 'sql', 'aws', 'spark', 'pyspark', 'git']"
Data Engineer,BI Data Engineer-Analyst,"Kent, WA",via LinkedIn,Full-time,0,"California, United States",2/28/2023,0,0,United States,year,127500,,Lakefield Veterinary Group,"['sql', 'python', 'c#', 'sql server', 'azure', 'power bi', 'dax']"
Data Scientist,Azure Big Data Engineer,"Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,0,India,2/9/2023,0,0,India,year,45000,,Bosch Group,"['sql', 'sql server', 'azure', 'ssis', 'ssrs', 'power bi']"
Data Engineer,Data Engineer,"Newton, MA",via Indeed,Full-time,0,"Florida, United States",2/22/2023,0,0,United States,year,125000,,Bright Horizons Family Solutions,"['sql', 'sql server', 'azure', 'snowflake', 'react', 'ssis', 'qlik', 'flow']"
Data Engineer,Data Engineer,"Westlake, TX",via Dice,Contractor,0,Sudan,2/9/2023,0,1,Sudan,hour,,60,SPECTRAFORCE TECHNOLOGIES Inc.,"['python', 'scala', 'nosql', 'java', 'dynamodb', 'aws', 'oracle', 'snowflake']"
